time,ax,ay,az,gx,gy,gz
3756.0,0.9688,-0.0144,0.2102,1.379,0.917,0.143
3769.0,0.969,-0.0125,0.2023,0.921,1.001,-0.063
3782.0,0.9674,-0.0101,0.2027,1.089,1.245,-0.177
3795.0,0.9681,-0.0018,0.1956,1.494,1.451,-0.109
3808.0,0.9682,-0.006,0.1963,0.31,2.306,0.12
3821.0,0.9707,-0.0022,0.205,-0.094,2.795,0.212
3834.0,0.968,-0.0104,0.2157,-0.216,2.932,0.456
3847.0,0.9685,-0.0125,0.2168,0.547,2.413,0.388
3860.0,0.9718,-0.014,0.2119,1.28,2.039,0.304
3873.0,0.9663,-0.0045,0.21,1.425,2.069,0.296
3886.0,0.9686,-0.0089,0.2067,0.203,1.779,0.525
3899.0,0.967,-0.0066,0.2085,-0.339,1.802,0.617
3912.0,0.968,-0.009,0.2061,-0.323,2.215,0.586
3925.0,0.9644,-0.0098,0.2237,1.036,2.222,0.555
3938.0,0.966,-0.0057,0.211,2.272,1.65,0.624
3951.0,0.9626,-0.0071,0.2063,1.86,2.039,0.929
3964.0,0.9631,-0.0082,0.2065,1.219,2.062,1.25
3977.0,0.9694,-0.0236,0.2063,0.417,1.978,1.357
3990.0,0.9705,-0.0291,0.2029,1.013,2.192,1.006
4003.0,0.9726,-0.0341,0.2025,1.471,2.36,0.517
4016.0,0.9693,-0.0289,0.2043,2.028,2.68,0.006
4029.0,0.966,-0.0249,0.2032,1.89,3.008,-0.338
4042.0,0.9653,-0.0112,0.2133,0.6,3.207,-0.574
4055.0,0.9661,-0.0077,0.2217,-0.361,3.123,-0.193
4068.0,0.9694,-0.0073,0.2232,-1.064,2.253,0.143
4081.0,0.9676,-0.0103,0.2246,-0.888,2.069,0.517
4094.0,0.9654,-0.0171,0.2321,0.516,1.505,0.555
4107.0,0.9688,-0.0179,0.2245,2.158,0.81,0.38
4120.0,0.9674,-0.0143,0.2128,2.417,0.596,0.174
4133.0,0.9671,-0.0121,0.2134,1.745,0.726,0.013
4146.0,0.9699,-0.012,0.2062,0.73,0.703,0.097
4159.0,0.9697,-0.0143,0.205,0.677,0.902,0.334
4172.0,0.9698,-0.0217,0.2039,1.142,1.062,0.395
4185.0,0.9649,-0.0269,0.1999,0.913,1.237,0.288
4198.0,0.9677,-0.0341,0.2018,1.158,1.352,-0.04
4211.0,0.9721,-0.0286,0.2,1.562,1.772,-0.658
4224.0,0.9705,-0.0239,0.1969,1.371,2.115,-0.994
4237.0,0.9693,-0.0195,0.2005,1.272,2.566,-0.964
4250.0,0.967,-0.0156,0.2071,-0.079,2.382,-0.933
4263.0,0.9727,-0.015,0.2135,-0.781,2.131,-0.696
4276.0,0.9714,-0.0194,0.218,-0.384,1.978,-0.704
4289.0,0.9747,-0.021,0.2211,1.097,1.993,-1.116
4302.0,0.9666,-0.0133,0.2162,1.646,1.955,-1.399
4315.0,0.9671,-0.0079,0.2172,0.776,1.802,-1.345
4328.0,0.9615,0.0041,0.2126,0.104,1.329,-1.208
4341.0,0.9618,0.0009,0.2083,0.127,1.069,-0.689
4354.0,0.9618,-0.0004,0.205,1.043,1.054,-0.322
4367.0,0.9671,-0.01,0.1956,1.89,1.047,0.044
4380.0,0.9686,-0.0082,0.1851,1.486,1.23,-0.04
4393.0,0.9707,-0.0092,0.183,0.768,2.024,0.013
4406.0,0.9687,-0.0099,0.1873,0.242,2.68,0.013
4419.0,0.9696,-0.0144,0.1939,-0.293,3.413,0.143
4432.0,0.9663,-0.0144,0.209,-0.819,3.451,0.029
4445.0,0.969,-0.0168,0.2087,-0.964,3.329,-0.109
4458.0,0.9716,-0.017,0.2172,-0.911,3.245,-0.529
4471.0,0.9694,-0.016,0.2209,-0.598,2.97,-0.742
4484.0,0.9681,-0.0095,0.2198,0.455,2.36,-0.948
4497.0,0.968,0.0007,0.2113,0.921,1.779,-0.674
4510.0,0.9661,0.0023,0.2084,0.089,1.963,-0.216
4523.0,0.9672,0.0021,0.2129,0.081,2.031,0.113
4536.0,0.9657,-0.0015,0.2154,0.196,2.222,0.487
4549.0,0.965,-0.0073,0.2213,0.6,2.192,0.403
4562.0,0.965,-0.0109,0.2139,1.448,1.787,0.281
4575.0,0.9638,-0.0092,0.2034,0.99,1.596,0.273
4588.0,0.9688,-0.006,0.1988,-0.277,1.978,0.464
4601.0,0.9665,-0.0121,0.1985,-0.293,2.489,0.487
4614.0,0.9632,-0.012,0.199,-0.209,2.787,0.639
4627.0,0.9654,-0.0143,0.2039,-0.354,3.131,0.601
4640.0,0.9665,-0.0114,0.2079,-0.01,3.253,0.655
4653.0,0.9686,-0.0145,0.2032,0.028,3.451,0.807
4666.0,0.9655,-0.0115,0.213,-0.14,3.703,0.525
4679.0,0.9644,-0.0034,0.2167,-0.01,3.444,0.853
4692.0,0.9631,-0.0046,0.2224,0.219,3.329,0.868
4705.0,0.9653,-0.0063,0.2222,-0.186,2.871,1.059
4718.0,0.9666,-0.0045,0.2157,-0.323,2.39,1.395
4731.0,0.9699,-0.0139,0.214,-0.674,2.192,1.861
4744.0,0.9697,-0.0206,0.2115,-0.949,2.306,1.868
4757.0,0.9727,-0.0306,0.2185,-1.003,2.802,1.67
4770.0,0.9704,-0.0305,0.2191,-0.003,2.573,1.159
4783.0,0.9677,-0.0281,0.2199,0.013,2.802,0.823
4796.0,0.9702,-0.0297,0.2242,0.501,2.52,0.51
4809.0,0.9677,-0.0282,0.2117,1.234,2.253,0.189
4822.0,0.9663,-0.0233,0.2099,1.158,2.382,0.319
4835.0,0.9713,-0.0294,0.2111,0.158,2.566,0.181
4848.0,0.9713,-0.0299,0.2163,-0.071,2.489,-0.177
4861.0,0.9642,-0.0239,0.2139,0.417,2.192,-0.666
4874.0,0.9675,-0.0156,0.2084,0.944,2.688,-0.758
4887.0,0.9636,-0.009,0.2195,0.952,2.986,-0.483
4900.0,0.9637,-0.0076,0.2129,0.822,2.993,-0.2
4913.0,0.962,-0.0096,0.2139,0.562,3.428,0.273
4926.0,0.9627,-0.0104,0.2238,-0.064,3.528,0.487
4939.0,0.9643,-0.0195,0.2344,0.455,2.856,0.555
4952.0,0.962,-0.0205,0.2281,1.371,2.352,0.426
4965.0,0.9624,-0.0236,0.2206,0.814,2.016,0.38
4978.0,0.9653,-0.027,0.2211,0.135,1.772,0.159
4991.0,0.9693,-0.033,0.2217,0.524,1.573,-0.238
5004.0,0.9693,-0.0264,0.2155,1.875,1.474,-0.544
5017.0,0.9682,-0.0181,0.213,2.295,1.932,-0.635
5030.0,0.9668,-0.0155,0.2106,2.471,2.184,-0.704
5043.0,0.9663,-0.0071,0.2137,1.287,2.421,-0.46
5056.0,0.9621,-0.0078,0.2185,0.555,2.474,-0.124
5069.0,0.9668,-0.0183,0.2209,0.7,2.306,0.25
5082.0,0.967,-0.0234,0.2261,0.959,2.1,0.09
5095.0,0.9676,-0.0239,0.222,0.646,1.711,-0.071
5108.0,0.9674,-0.0258,0.2245,0.967,1.512,-0.551
5121.0,0.9686,-0.0242,0.2198,1.501,1.237,-0.979
5134.0,0.9663,-0.0112,0.2093,0.402,1.199,-1.032
