Time(ms),ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
6187,0.0405,0.0310,0.9734,0.646,1.810,-0.063
6200,0.0439,0.0256,0.9827,0.532,1.673,-0.177
6213,0.0407,0.0312,0.9834,0.646,1.627,0.075
6226,0.0354,0.0281,0.9825,0.745,1.795,0.059
6239,0.0315,0.0276,0.9800,0.455,1.833,0.143
6252,0.0356,0.0310,0.9764,0.555,1.802,0.067
6265,0.0327,0.0278,0.9844,0.707,1.894,0.105
6278,0.0361,0.0271,0.9771,0.600,1.703,0.013
6291,0.0373,0.0286,0.9825,0.631,1.840,-0.185
6304,0.0376,0.0286,0.9798,0.669,1.840,-0.300
6317,0.0402,0.0317,0.9837,0.730,1.924,-0.078
6330,0.0332,0.0325,0.9817,0.417,1.894,-0.063
6343,0.0332,0.0322,0.9744,0.967,1.856,-0.124
6356,0.0400,0.0281,0.9825,0.692,1.703,-0.002
6369,0.0405,0.0256,0.9812,0.677,1.833,-0.078
6382,0.0415,0.0239,0.9795,0.784,1.848,-0.063
6395,0.0361,0.0242,0.9800,0.600,1.741,-0.009
6408,0.0422,0.0286,0.9825,0.669,1.627,0.021
6421,0.0412,0.0281,0.9812,0.761,1.902,-0.063
6434,0.0336,0.0298,0.9822,0.646,1.795,0.029
6447,0.0383,0.0264,0.9861,0.669,1.932,-0.208
6460,0.0376,0.0273,0.9873,0.692,1.848,0.029
6473,0.0368,0.0273,0.9705,0.547,1.550,0.013
6486,0.0371,0.0215,0.9785,0.669,1.886,0.105
6499,0.0354,0.0239,0.9915,0.677,1.894,0.212
6512,0.0388,0.0298,0.9807,0.738,1.589,-0.116
6525,0.0376,0.0308,0.9878,0.631,1.802,-0.238
6538,0.0432,0.0330,0.9810,0.715,1.665,-0.139
6551,0.0388,0.0312,0.9912,0.883,1.902,-0.009
6564,0.0380,0.0305,0.9859,0.471,1.924,-0.124
6577,0.0368,0.0281,0.9817,0.471,1.673,-0.101
6590,0.0395,0.0291,0.9712,0.723,1.695,0.059
6603,0.0356,0.0286,0.9861,0.608,1.581,0.052
6616,0.0383,0.0320,0.9829,0.600,1.902,-0.040
6629,0.0402,0.0278,0.9803,0.646,1.871,0.006
6642,0.0319,0.0298,0.9842,0.906,1.741,0.097
6655,0.0297,0.0283,0.9851,0.715,1.940,-0.017
6668,0.0427,0.0364,0.9844,0.768,1.695,-0.025
6681,0.0378,0.0332,0.9847,0.616,1.734,-0.093
6694,0.0380,0.0232,0.9688,0.539,1.818,0.113
6707,0.0317,0.0281,0.9978,0.547,1.459,0.067
6720,0.0366,0.0249,0.9734,0.677,1.871,0.029
6733,0.0427,0.0261,0.9798,0.661,1.871,0.174
6746,0.0332,0.0315,0.9829,0.700,1.726,-0.017
6759,0.0349,0.0317,0.9815,0.776,1.932,-0.086
6772,0.0368,0.0315,0.9764,0.577,1.711,0.021
6785,0.0363,0.0286,0.9873,0.661,1.840,-0.017
6798,0.0376,0.0271,0.9812,0.654,1.703,-0.078
6811,0.0380,0.0310,0.9917,0.768,1.848,-0.009
6824,0.0380,0.0320,0.9876,0.745,1.848,-0.193
6837,0.0366,0.0286,0.9837,0.539,1.734,-0.032
6850,0.0402,0.0276,0.9810,0.723,1.665,0.128
6863,0.0334,0.0249,0.9790,0.738,1.726,0.075
6876,0.0358,0.0310,0.9822,0.654,1.795,0.097
6889,0.0363,0.0337,0.9864,0.661,1.619,-0.124
6902,0.0354,0.0312,0.9810,0.593,1.673,-0.185
6915,0.0376,0.0278,0.9746,0.707,1.543,0.059
6928,0.0371,0.0310,0.9807,0.577,1.863,-0.109
6941,0.0385,0.0254,0.9876,0.486,1.627,0.029
6954,0.0317,0.0356,0.9827,0.715,1.840,-0.040
6967,0.0361,0.0266,0.9871,0.898,1.848,-0.109
6980,0.0363,0.0273,0.9805,0.707,1.512,-0.093
6993,0.0363,0.0273,0.9837,0.837,1.940,0.013
7006,0.0412,0.0266,0.9783,0.471,2.047,-0.124
7019,0.0376,0.0278,0.9795,0.715,1.779,0.021
7032,0.0429,0.0298,0.9825,0.738,1.650,0.013
7045,0.0376,0.0264,0.9778,0.707,1.986,-0.109
7058,0.0407,0.0293,0.9790,0.600,1.749,0.143
7071,0.0376,0.0327,0.9878,0.577,1.879,-0.086
7084,0.0378,0.0288,0.9754,0.807,1.863,-0.017
7097,0.0393,0.0369,0.9817,0.715,1.779,-0.147
7110,0.0449,0.0303,0.9803,0.784,1.856,-0.040
7123,0.0412,0.0283,0.9793,0.723,1.779,-0.086
7136,0.0358,0.0276,0.9825,0.730,1.932,-0.139
7149,0.0358,0.0291,0.9820,0.707,1.528,0.128
7162,0.0368,0.0322,0.9698,0.715,1.543,-0.055
7175,0.0398,0.0291,0.9785,0.639,1.642,0.006
7188,0.0405,0.0266,0.9766,0.677,1.703,-0.002
7201,0.0332,0.0388,0.9781,0.791,1.673,0.044
7214,0.0410,0.0291,0.9849,0.768,1.688,0.113
7227,0.0407,0.0325,0.9778,0.829,1.711,0.097
7240,0.0366,0.0293,0.9888,0.799,1.749,-0.078
7253,0.0417,0.0327,0.9847,0.784,1.489,0.036
7266,0.0373,0.0303,0.9876,0.669,2.047,-0.032
7279,0.0415,0.0225,0.9810,0.577,1.734,-0.063
7292,0.0388,0.0273,0.9793,0.616,1.810,0.082
7305,0.0305,0.0317,0.9834,0.807,1.810,0.044
7318,0.0402,0.0332,0.9829,0.646,1.764,-0.032
7331,0.0344,0.0398,0.9815,0.868,1.627,-0.078
