trial_id,sign_name,time_ms,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
1,UUUII,2285.0,695,369,200,232,614,0.0666,-0.2329,0.9617,-0.476,0.627,0.159
1,UUUII,2298.0,1027,809,1160,798,854,0.0695,-0.2275,0.97,-0.384,0.604,0.204
1,UUUII,2311.0,1062,885,641,764,1245,0.0654,-0.2278,0.9651,-0.438,0.596,0.12
1,UUUII,2324.0,987,388,1239,227,1109,0.0649,-0.228,0.9656,-0.445,0.634,0.097
1,UUUII,2337.0,868,900,1292,896,258,0.0695,-0.2295,0.9671,-0.575,0.581,0.075
1,UUUII,2350.0,1269,936,713,841,419,0.069,-0.2266,0.9646,-0.743,0.512,0.036
1,UUUII,2363.0,1108,975,392,288,1057,0.0688,-0.2268,0.9617,-0.766,0.604,0.128
1,UUUII,2376.0,1156,1153,379,1296,225,0.0712,-0.2278,0.9754,-0.789,0.55,0.006
1,UUUII,2389.0,243,870,331,358,737,0.0678,-0.2268,0.9644,-0.766,0.711,-0.124
1,UUUII,2402.0,416,234,366,1038,616,0.0654,-0.2251,0.9661,-0.705,0.787,-0.132
1,UUUII,2415.0,1058,621,429,948,1254,0.0715,-0.2249,0.9639,-0.667,0.802,-0.345
1,UUUII,2428.0,1247,1279,826,904,708,0.0654,-0.2153,0.9654,-0.506,0.772,-0.467
1,UUUII,2441.0,230,811,415,1053,1063,0.0712,-0.219,0.9607,-0.613,0.726,-0.483
1,UUUII,2454.0,889,233,958,711,690,0.0681,-0.2119,0.9651,-0.697,0.665,-0.315
1,UUUII,2467.0,386,983,1252,1132,778,0.0717,-0.218,0.9629,-0.743,0.665,-0.093
1,UUUII,2480.0,1065,678,717,251,850,0.0678,-0.2207,0.9632,-0.766,0.482,0.105
1,UUUII,2493.0,1075,672,1060,211,496,0.0669,-0.2266,0.9678,-0.873,0.528,0.433
1,UUUII,2506.0,469,1091,546,1170,262,0.0632,-0.2317,0.9671,-0.606,0.413,0.403
1,UUUII,2519.0,390,1207,938,319,467,0.0622,-0.23,0.9617,-0.575,0.344,0.632
1,UUUII,2532.0,308,655,421,711,758,0.0637,-0.2339,0.9676,-0.613,0.276,0.7
1,UUUII,2545.0,718,511,928,646,1020,0.0695,-0.2378,0.9637,-0.4,0.176,0.594
1,UUUII,2558.0,1297,870,344,996,912,0.0659,-0.2378,0.9627,-0.339,0.337,0.388
1,UUUII,2571.0,792,747,822,293,786,0.0676,-0.2424,0.9617,-0.193,0.466,0.418
1,UUUII,2584.0,383,628,202,799,936,0.0715,-0.2383,0.9649,-0.193,0.604,0.097
1,UUUII,2597.0,1033,735,1090,893,334,0.0681,-0.2371,0.9666,-0.293,0.787,-0.185
1,UUUII,2610.0,1274,1003,508,1077,314,0.0644,-0.2336,0.9637,-0.071,0.902,-0.269
1,UUUII,2623.0,701,663,353,1017,700,0.0661,-0.2295,0.9688,-0.285,0.924,-0.46
1,UUUII,2636.0,826,628,447,1137,1152,0.0695,-0.2227,0.9612,-0.43,0.84,-0.475
1,UUUII,2649.0,416,528,1008,383,302,0.0669,-0.2246,0.9673,-0.644,0.779,-0.445
1,UUUII,2662.0,996,1132,236,1195,881,0.0683,-0.2231,0.9764,-0.606,0.879,-0.399
1,UUUII,2675.0,776,1062,1101,527,1165,0.0671,-0.22,0.9649,-0.484,0.65,-0.361
1,UUUII,2688.0,1171,848,803,1042,586,0.0705,-0.2141,0.9624,-0.506,0.673,-0.177
1,UUUII,2701.0,452,657,272,547,896,0.0747,-0.2217,0.9676,-0.468,0.566,-0.116
