Time(ms),ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,roll_deg,pitch_deg,yaw_deg
316015,-0.1384,0.5084,0.8740,-1.435,0.038,0.427,29.881,7.724,108.284
316028,-0.1409,0.4905,0.8725,1.260,0.786,-0.198,29.774,7.801,108.271
316041,-0.1389,0.5147,0.8771,-0.489,0.344,0.122,29.903,7.799,108.293
316054,-0.1396,0.5035,0.8757,-0.084,0.168,0.092,29.891,7.948,108.293
316067,-0.1423,0.5054,0.8793,0.405,0.473,0.069,29.893,8.101,108.297
316080,-0.1411,0.5091,0.8828,0.069,0.679,-0.092,29.946,7.970,108.307
316093,-0.1416,0.5059,0.8693,0.511,0.687,-0.099,30.085,8.001,108.329
316106,-0.1448,0.4991,0.8793,0.229,0.496,0.191,29.957,8.044,108.316
316119,-0.1377,0.5030,0.8784,0.038,0.489,-0.061,29.891,7.925,108.309
316132,-0.1382,0.5045,0.8715,0.527,0.740,-0.183,30.017,7.858,108.328
316145,-0.1416,0.4974,0.8681,0.214,0.496,0.046,29.916,7.963,108.318
316158,-0.1384,0.4976,0.8832,0.176,0.305,0.122,29.793,7.920,108.304
316171,-0.1382,0.5067,0.8766,0.153,0.595,-0.076,29.914,7.851,108.323
316184,-0.1406,0.5015,0.8749,0.321,0.443,-0.031,29.814,7.955,108.311
316197,-0.1440,0.5076,0.8720,0.252,0.481,-0.069,29.940,8.014,108.331
316210,-0.1401,0.4979,0.8737,0.191,0.710,-0.130,29.815,7.984,108.316
316223,-0.1372,0.5042,0.8779,0.229,0.580,0.168,29.850,7.844,108.326
316236,-0.1387,0.5042,0.8691,0.267,0.504,0.008,29.988,7.857,108.347
316249,-0.1428,0.5067,0.8815,0.260,0.534,0.069,29.906,7.981,108.340
316262,-0.1387,0.5027,0.8764,0.099,0.611,-0.092,29.855,7.856,108.336
316275,-0.1377,0.5062,0.8764,0.221,0.573,0.107,29.975,7.780,108.356
316288,-0.1404,0.5030,0.8823,0.313,0.458,-0.092,29.848,7.827,108.341
316301,-0.1399,0.4981,0.8705,0.389,0.664,0.053,29.776,7.959,108.335
316314,-0.1384,0.5071,0.8749,0.366,0.267,-0.176,29.905,7.899,108.352
316327,-0.1433,0.5005,0.8771,0.344,0.405,-0.008,29.804,8.001,108.340
316340,-0.1418,0.4952,0.8747,0.153,0.496,-0.038,29.671,8.022,108.324
316353,-0.1426,0.4959,0.8727,0.466,0.336,0.092,29.573,8.125,108.312
316366,-0.1384,0.5062,0.8793,0.359,0.290,0.122,29.681,8.024,108.330
316379,-0.1423,0.5052,0.8806,0.290,0.374,-0.046,29.817,7.994,108.350
316392,-0.1399,0.5062,0.8806,0.145,0.588,-0.153,29.885,7.868,108.361
316405,-0.1387,0.5003,0.8808,0.351,0.435,0.252,29.760,7.839,108.349
316418,-0.1372,0.5076,0.8779,0.244,0.382,-0.092,29.890,7.783,108.368
316431,-0.1462,0.5069,0.8718,0.282,0.382,-0.038,29.967,7.908,108.380
316444,-0.1423,0.4996,0.8788,0.260,0.489,0.076,29.839,7.953,108.366
